Year,Agricultural water withdrawal,Industrial water withdrawal,Municipal water withdrawal,Agricultural water withdrawal as % of total water withdrawal,Agricultural water withdrawal per capita,Environmental Flow Requirements,Industrial water withdrawal as % of total water withdrawal,Industrial water withdrawal per capita,Irrigation water requirement,Irrigation water withdrawal,Municipal water withdrawal as % of total withdrawal,Municipal water withdrawal per capita (total population),Total water withdrawal,Total water withdrawal per capita,Water withdrawal for aquaculture,Water withdrawal for livestock (watering and cleaning)
1998,23.79,0.2264,0.514333333,96.980386508,5393.937703761,5.355,0.922923897,51.33196705,,,2.096689595,116.615466959,24.530733333,5561.885137771,,
1999,23.915,0.24825,0.555666667,96.747767398,5323.707695835,5.355,1.004291585,55.26282398,,,2.247941017,123.696713763,24.718916667,5502.667233579,,
2000,24.04,0.2701,0.597,96.518663353,5245.842113682,5.355,1.084429741,58.939349206,,,2.396906906,130.273200577,24.9071,5435.054663464,,
2001,24.607175839,0.276472471,0.611085024,96.518663353,5263.106572869,5.355,1.084429741,59.133323017,,,2.396906906,130.701939434,25.494733333,5452.94183532,,
2002,25.174351677,0.282844941,0.625170048,96.518663353,5278.23386428,5.355,1.084429741,59.303284806,,,2.396906906,131.0776047,26.082366667,5468.614753786,,
2003,25.741527516,0.289217412,0.639255072,96.518663353,5292.401725017,5.355,1.084429741,59.462466969,,,2.396906906,131.429443837,26.67,5483.293635822,,
2004,26.36,0.839,0.755,94.297774916,5316.56021781,5.355,3.001359376,169.218286143,,26.25,2.700865708,152.276288484,27.954,5638.054792437,0.028,0.084
2005,26.372863788,0.839409435,0.755368443,94.297774916,5220.016279482,5.355,3.001359376,166.145434692,,26.25,2.700865708,149.51108843,27.967641667,5535.672802604,0.028,0.084
2006,26.385727576,0.839818871,0.755736886,94.297774916,5126.323938652,5.355,3.001359376,163.163345392,13.56,26.25,2.700865708,146.827563493,27.981283333,5436.314847537,0.028,0.084
2007,26.398591364,0.840228306,0.756105329,94.297774916,5034.012166252,5.355,3.001359376,160.225197553,13.56,26.25,2.700865708,144.183580634,27.994925,5338.420944439,0.028,0.084
2008,26.411455153,0.840637742,0.756473772,94.297774916,4941.311853034,5.355,3.001359376,157.274683031,13.56,26.25,2.700865708,141.528469235,28.008566667,5240.115005301,0.028,0.084
2009,26.424318941,0.841047177,0.756842215,94.297774916,4847.083006329,5.355,3.001359376,154.275517538,13.56,26.25,2.700865708,138.829577761,28.022208333,5140.188101628,0.028,0.084
2010,26.437182729,0.841456613,0.757210659,94.297774916,4751.166663091,5.355,3.001359376,151.222641515,13.56,26.25,2.700865708,136.082353211,28.03585,5038.471657816,0.028,0.084
2011,26.450046517,0.841866048,0.757579102,94.297774916,4653.898617134,5.355,3.001359376,148.126742784,13.56,26.25,2.700865708,133.296413351,28.049491667,4935.321773269,0.028,0.084
2012,26.462910305,0.842275484,0.757947545,94.297774916,4555.857921247,5.355,3.001359376,145.006251742,13.56,26.25,2.700865708,130.488343344,28.063133333,4831.352516333,0.028,0.084
2013,26.475774093,0.842684919,0.758315988,94.297774916,4457.695574838,5.355,3.001359376,141.881888744,13.56,26.25,2.700865708,127.676789036,28.076775,4727.254252618,0.028,0.084
2014,26.488637881,0.843094354,0.758684431,94.297774916,4360.066499171,5.355,3.001359376,138.774498968,13.56,26.25,2.700865708,124.880508607,28.090416667,4623.721506746,0.028,0.084
2015,26.501501669,0.84350379,0.759052874,94.297774916,4263.591102858,5.355,3.001359376,135.703829108,13.56,26.25,2.700865708,122.117271725,28.104058333,4521.412203691,0.028,0.084
2016,26.514365457,0.843913225,0.759421317,94.297774916,4168.898511431,5.355,3.001359376,132.689903304,13.56,26.25,2.700865708,119.405097729,28.1177,4420.993512463,0.028,0.084
2017,27.210754525,0.866078264,0.77936721,94.297774916,4181.727284452,5.355,3.001359376,133.098224266,13.56,26.25,2.700865708,119.772537927,28.8562,4434.598046645,0.028,0.084
2018,25.347241897,0.8067654,0.725992702,94.297774916,3808.451730833,5.355,3.001359376,121.217412829,13.56,26.25,2.700865708,109.081223702,26.88,4038.750367364,0.028,0.084
2020,16.1196,0.8067654,0.4535,61.420401072,2319.39627437,5.355,3.074012659,116.082822387,13.56,26.25,1.727967933,65.252624781,26.2447,3776.263641899,0.028,0.084
2021,16.1196,0.8067654,0.4535,92.748704485,2272.913460903,5.355,4.641954248,113.756416917,13.56,26.25,2.609341267,63.944902759,17.3798654,2450.614780579,0.028,0.084
2022,16.1196,0.8067654,0.4535,92.748704485,2229.484053884,5.355,4.641954248,111.582830541,13.56,26.25,2.609341267,62.723083602,17.3798654,2403.789968027,0.028,0.084
